안나바, 알제리	라바 비타트 공항	AAE
아르메니아, 콜롬비아	엘 에덴 국제공항	AXM
아르메니아, 콜롬비아	El Eden	AXM
Spring Point, 바하마	스프링 포인트 에어포트	AXP
Arutua, 프랑스령 폴리네시아	Arutua	AXR
아키타, 일본	Akita	AXT
Ayacucho, Peru	Yanamilla	AYP
아야쿠초, 페루	코로넬 FAP 알프레도 멘디빌 두아르테 에어포트	AYP
Yulara, NT, Australia	Ayers Rock Connellan	AYQ
율라라, NT, 호주	Ayers Rock Connellan	AYQ
율라라, NT, 호주	에어즈록공항	AYQ
율라라, NT, 호주	Uluru	AYQ
안탈리아, 터키	Antalya	AYT
안탈리아, 터키	안탈리아공항	AYT
Pheonix, AZ	Phoenix-Mesa Gateway	AZA
피닉스, AZ, 미국	피닉스-메사 게이트웨이 에어포트	AZA
피닉스, AZ, 미국	Phoenix-Mesa Gateway	AZA
Yazd, 이란	Yazd	AZD
Abu Dhabi, United Arab Emirates	Bateen	AZI
아부다비, 아랍에미리트	바틴 에어포트	AZI
아부다비, 아랍에미리트	Al Bateen Executive	AZI
Andizhan, 우즈베키스탄	안디잔 에어포트	AZN
칼라마주, MI, 미국	Battle Creek	AZO
Atizapan	멕시코시티, 멕시코	AZP
아드라르, 알제리	Adrar	AZR
아드라르, 알제리	투아트-셰이크 시디 모하메드 벨키비르 공항	AZR
나과, 도미니카공화국	사마나 엘 카테이 국제공항	AZS
반스 뮤니시플 에어포트	스프링필드, MA, 미국	BAF
마나마, 바레인	바레인 국제공항	BAH
부에노스아이레스, 코스타리카	Buenos Aires	BAI
바쿠, Azerbaijan	모든 공항	BAK
바쿠, 아제르바이잔	All airports	BAK
바쿠, 아제르바이잔	모든 공항	BAK
바트만, 터키	바트만 에어포트	BAL
바랑키야, 콜롬비아	에르네스토 코르티소스 국제공항	BAQ
바랑키야, 콜롬비아	Ernesto Cortissoz	BAQ
Jiaji, China	Qionghai Bo'ao	BAR
Qinghai, China	Qionghai Bo'ao	BAR
충하이, 중국	Baker Aaf	BAR
충하이, 중국	Qionghai Bo'ao	BAR
Balalae Island, 솔로몬제도	발랄라에 에어포트	BAS
바르레토스, 브라질	차페이 암세이 에어포트	BAT
바오터우, 중국	Baotou	BAV
바오터우, 중국	바오터우공항	BAV
바르나울, 러시아	바르나울 에어포트	BAX
바이아 마레, 루마니아	바이아마레 에어포트	BAY
Balmaceda, 칠레	발마세다 에어포트	BBA
Balmaceda, 칠레	Teniente Vidal	BBA
부바네스, 인도	부바네스와르공항	BBI
부바네스, 인도	Bhubaneswar	BBI
카사네, Botswana	카사네 공항	BBK
카사네, 보츠와나	카사네 공항	BBK
카사네, 보츠와나	Kasane	BBK
바리오, 말레이시아	바리오 공항	BBN
베르베라, 소말리아	베르베라 에어포트	BBO
코드링턴, ATG	코드링턴공항	BBQ
코드링턴, 앤티가바부다	코드링턴공항	BBQ
코드링턴, 앤티가바부다	Barbuda Codrington	BBQ
부쿠레슈티, 루마니아	Aurel Vlaicu Intl	BBU
부쿠레슈티, 루마니아	부쿠레슈티아우렐블라이쿠공항	BBU
부쿠레슈티아우렐블라이쿠공항	부쿠레슈티, 루마니아	BBU
Baracoa, 쿠바	Baracoa	BCA
바콜로드, 필리핀	Bacolod	BCD
바콜로드, 필리핀	바콜로드 실라이 국제공항	BCD
바카다인, QLD, 호주	바칼딘 에어포트	BCI
바카우, 루마니아	Bacau	BCM
바카우, 루마니아	바커우 인터내셔널 에어포트	BCM
바카우, 루마니아	George Enescu Intl	BCM
바르셀로나, 스페인	Barcelona-El Prat	BCN
바르셀로나, 스페인	바르셀로나국제공항	BCN
벨모판, 벨리즈	헥터 실바 에어스트립	BCV
해밀턴, BMU	L.F. 웨이드 국제공항	BDA
해밀턴, 버뮤다	L.F. 웨이드 국제공항	BDA
해밀턴, 버뮤다	L.F Wade Intl	BDA
번더버그, 퀸즐랜드, 호주	번더버그공항	BDB
번더버그, 퀸즐랜드, 호주	Bundaberg	BDB
Bandar Lengeh, 이란	Bandar Lengeh	BDH
반자르마신, 인도네시아	시암수딘 누르 공항	BDJ
반자르마신, 인도네시아	Syamsudin Noor	BDJ
반자르마신, 인도네시아	Sjamsudin Noor	BDJ
Hartford, CT	Bradley Intl	BDL
브래들리국제공항	하트퍼드, CT, 미국	BDL
하트퍼드, CT, 미국	브래들리국제공항	BDL
Buahbatu, Indonesia	Husein Sastranegara	BDO
Coblong, Indonesia	Husein Sastranegara	BDO
Gegerkalong, Indonesia	Husein Sastranegara	BDO
반둥, 인도네시아	후세인 사스트라네가라 국제공항	BDO
반둥, 인도네시아	Husein Sastranegara	BDO
Bhadrapur, 네팔	바드라푸르 에어포트	BDP
바도다라, 인도	바도다라공항	BDQ
바도다라, 인도	Vadodara	BDQ
브린디시, 이탈리아	브린디시 에어포트	BDS
브린디시, 이탈리아	Papola Casale	BDS
바르두포스, 노르웨이	바두포스 공항	BDU
벤베쿨라섬, 영국	벤베큘라 에어포트	BEB
위치토, KS, 미국	비치 팩토리 에어포트	BEC
위치토, KS, 미국	Beech	BEC
베드포드, MA, 미국	한스컴 필드	BED
Beograd, Serbia	Nikola Tesla	BEG
베오그라드, SRB	니콜라테슬라공항	BEG
베오그라드, 세르비아	니콜라테슬라공항	BEG
베오그라드, 세르비아	Belgrade	BEG
베오그라드, 세르비아	Nikola Tesla	BEG
Tanjung Redeb, 인도네시아	칼리마라우 에어포트	BEJ
Tanjung Redeb, 인도네시아	Kalimarau	BEJ
벨렘, 브라질	발지칸스 국제공항	BEL
베니멜랄, 모로코	Beni Mellal	BEM
벵가지, 리비아	베니나 국제공항	BEN
베를린, 독일	브란덴부르크	BER
베를린, 독일	Brandenburg	BER
브레스트, 프랑스	브레스트 브레타뉴 공항	BES
브레스트, 프랑스	Brest Bretagne	BES
브레스트, 프랑스	Guipavas	BES
베델, AK, 미국	베텔공항	BET
베두리, QLD, 호주	Bedourie	BEU
베두리, QLD, 호주	베두리 에어포트	BEU
베이라, 모잠비크	베이라 공항	BEW
베이루트, LBN	베이루 국제공항	BEY
베이루트, 레바논	베이루 국제공항	BEY
블룸필드, QLD, 호주	Bloomfield	BFC
브래드퍼드, PA, 미국	브래드포드공항	BFD
스코츠블러프, NE, 미국	스콧블러프지역공항	BFF
스코츠블러프, NE, 미국	Scotts Bluff County	BFF
시애틀, WA, 미국	킹 카운티 국제 공항	BFI
시애틀, WA, 미국	King County/Boeing	BFI
시애틀, WA, 미국	Boeing Fld Intl	BFI
킹 카운티 국제 공항	시애틀, WA, 미국	BFI
비제, 중국	Bijie Feixiong	BFJ
베이커즈필드, CA, 미국	메도우즈 필드 공항	BFL
베이커즈필드, CA, 미국	Meadows Field	BFL
블룸폰테인, 남아프리카공화국	블룸폰테인공항	BFN
블룸폰테인, 남아프리카공화국	Bloemfontein Intl	BFN
Puerto Piña, 파나마	Bahia Pinas	BFQ
벨파스트, 영국	Belfast Intl	BFS
벨파스트, 영국	모든 공항	BFS
부리람, 태국	부리람 에어포트	BFV
부리람, 태국	Buri Ram	BFV
부카라망가, 콜롬비아	팔로네그로 국제공항	BGA
부카라망가, 콜롬비아	Palo Negro	BGA
방기, CAF	음포코 국제공항	BGF
방기, 중앙아프리카공화국	음포코 국제공항	BGF
빙괼, 터키	Bingöl	BGG
브리지타운, BRB	그랜틀리 애덤스 국제공항	BGI
브리지타운, 바베이도스	Grantley Adams Intl	BGI
브리지타운, 바베이도스	그랜틀리 애덤스 국제공항	BGI
브리지타운, 바베이도스	Bridgetown	BGI
빙엄턴, NY, 미국	그레이터 빙엄턴공항	BGM
빙엄턴, NY, 미국	Broome County	BGM
Belaya Gora, 러시아	Belaya Gora	BGN
베르겐, 노르웨이	Bergen	BGO
베르겐, 노르웨이	플레스랜드공항	BGO
베르겐, 노르웨이	Flesland	BGO
뱅거, ME, 미국	뱅거 국제공항	BGR
바그다드, IRQ	바그다드국제공항	BGW
바그다드, 이라크	Baghdad Intl	BGW
바그다드, 이라크	바그다드국제공항	BGW
베르가모, 이탈리아	Bergamo	BGY
베르가모, 이탈리아	오리오알세리오국제공항	BGY
베르가모, 이탈리아	Orio Al Serio	BGY
오리오알세리오국제공항	베르가모, 이탈리아	BGY
바 하버, ME, 미국	핸콕카운티 바하버공항	BHB
벨파스트, 영국	George Best Belfast City	BHD
벨파스트, 영국	조지 베스트 벨파스트 시티 공항	BHD
조지 베스트 벨파스트 시티 공항	벨파스트, 영국	BHD
